,0,1,2,3,4,5,6,7,8,9
0,1,Paris SG,41,16,13,2,1,36,6,+30
1,2,AS Monaco,25,15,6,7,2,22,20,+2
2,3,Stade Rennais,24,15,6,6,3,22,18,+4
3,4,Olympique de Marseille,24,15,6,6,3,17,13,+4
4,5,OGC Nice,21,15,5,6,4,21,17,+4
5,6,SM Caen,20,15,6,2,7,17,19,-2
6,7,FC Nantes Atlantique,18,15,4,6,5,11,15,-4
7,8,AS Saint-Etienne,18,16,5,3,8,14,20,-6
8,9,SCO Angers,17,15,5,2,8,16,21,-5
9,10,Olympique Lyonnais,16,15,4,4,7,16,20,-4
10,11,Montpellier Herault SC,15,14,3,6,5,16,15,+1
11,12,Lille OSC,15,15,2,9,4,9,14,-5
12,13,Lorient,15,15,3,6,6,18,26,-8
13,14,Ajaccio Gazélec,14,15,3,5,7,13,20,-7
14,15,Reims,13,15,3,4,8,14,26,-12
15,16,En Avant Guingamp,12,15,3,3,9,10,25,-15
16,17,Girondins de Bordeaux,12,15,2,6,7,17,33,-16
17,18,Bastia SC,10,14,2,4,8,8,19,-11
18,19,Toulouse FC,10,15,2,4,9,12,30,-18
19,20,ESTAC Troyes,8,15,2,2,11,13,39,-26
