,0,1,2,3,4,5,6,7,8,9
0,1,Paris SG,26,10,8,2,0,21,5,+16
1,2,SCO Angers,21,10,6,3,1,12,6,+6
2,3,SM Caen,21,10,7,0,3,12,10,+2
3,4,AS Saint-Etienne,19,10,6,1,3,13,10,+3
4,5,OGC Nice,17,10,5,2,3,25,14,+11
5,6,Olympique Lyonnais,16,10,4,4,2,12,7,+5
6,7,Stade Rennais,16,10,4,4,2,14,12,+2
7,8,FC Nantes Atlantique,16,10,5,1,4,9,11,-2
8,9,Reims,15,10,4,3,3,11,8,+3
9,10,Lorient,15,10,4,3,3,15,14,+1
10,11,AS Monaco,14,10,3,5,2,14,15,-1
11,12,En Avant Guingamp,14,10,4,2,4,10,13,-3
12,13,Lille OSC,11,10,2,5,3,5,5,0
13,14,Girondins de Bordeaux,11,10,2,5,3,13,16,-3
14,15,Bastia SC,10,10,3,1,6,12,16,-4
15,16,Olympique de Marseille,9,10,2,3,5,15,12,+3
16,17,Toulouse FC,8,10,1,5,4,11,17,-6
17,18,Montpellier Herault SC,5,10,1,2,7,6,14,-8
18,19,ESTAC Troyes,4,10,0,4,6,5,19,-14
19,20,Ajaccio Gazélec,3,10,0,3,7,4,15,-11
