,0,1,2,3,4,5,6,7,8,9
0,1,Juventus Turin,23,10,7,2,1,17,4,+13
1,2,SSC Naples,18,10,5,3,2,13,9,+4
2,3,AS Rome,18,10,5,3,2,11,9,+2
3,4,Fiorentina,17,10,5,2,3,16,11,+5
4,5,Genoa CFC,15,10,4,3,3,17,14,+3
5,6,Sampdoria Gênes,14,10,3,5,2,11,10,+1
6,7,Lazio Rome,13,10,3,4,3,15,12,+3
7,8,US Sassuolo Calcio,13,11,3,4,4,15,21,-6
8,9,Milan AC,12,10,2,6,2,16,16,0
9,10,Udinese,12,10,3,3,4,9,14,-5
10,11,Inter Milan,11,10,2,5,3,8,12,-4
11,12,Torino FC,11,10,3,2,5,9,14,-5
12,13,Chievo Vérone,11,10,3,2,5,7,12,-5
13,14,Cagliari,10,10,2,4,4,16,19,-3
14,15,Atalanta Bergame,10,11,2,4,5,5,12,-7
15,16,Hellas Vérone,10,10,2,4,4,9,18,-9
16,17,Empoli FC,8,9,1,5,3,10,13,-3
17,18,US Palerme,8,10,1,5,4,16,21,-5
18,19,AC Cesena,5,10,1,2,7,9,20,-11
19,20,Parme FC  ,3,9,1,0,8,7,23,-16
