,0,1,2,3,4,5,6,7,8,9
0,1,FC Barcelone,43,15,14,1,0,50,17,+33
1,2,Atlético Madrid,37,15,12,1,2,35,13,+22
2,3,Real Madrid,32,15,10,2,3,37,12,+25
3,4,Málaga CF,25,15,7,4,4,23,10,+13
4,5,Betis Séville,25,15,8,1,6,24,26,-2
5,6,Levante UD,24,15,7,3,5,20,21,-1
6,7,Getafe CF,23,15,7,2,6,18,20,-2
7,8,Real Valladolid,21,15,6,3,6,22,18,+4
8,9,Real Sociedad,21,15,6,3,6,22,19,+3
9,10,Valence CF,21,15,6,3,6,19,23,-4
10,11,FC Séville,19,15,5,4,6,21,22,-1
11,12,Real Saragosse,19,15,6,1,8,18,23,-5
12,13,Rayo Vallecano,19,15,6,1,8,18,32,-14
13,14,Athletic Bilbao,18,15,5,3,7,20,32,-12
14,15,Celta Vigo,15,15,4,3,8,16,20,-4
15,16,Osasuna Pampelune,13,15,3,4,8,12,16,-4
16,17,Real Majorque,13,15,3,4,8,14,27,-13
17,18,Grenade CF,12,15,3,3,9,11,24,-13
18,19,Espanyol Barcelone,11,15,2,5,8,15,24,-9
19,20,Deportivo La Corogne,11,15,2,5,8,21,37,-16
