,0,1,2,3,4,5,6,7,8,9
0,1,Inter Milan,17,8,5,2,1,12,5,+7
1,2,Juventus Turin,13,8,4,1,3,12,6,+6
2,3,Fiorentina,13,8,4,1,3,13,10,+3
3,-,AS Rome,13,9,3,4,2,13,10,+3
4,5,SSC Naples,12,8,3,3,2,12,7,+5
5,6,Chievo Vérone,11,8,3,2,3,11,9,+2
6,7,US Sassuolo Calcio,11,8,3,2,3,9,8,+1
7,8,Empoli FC,11,8,3,2,3,9,11,-2
8,9,Udinese,10,8,3,1,4,8,13,-5
9,10,Bologne FC,9,8,3,0,5,7,12,-5
10,11,Milan AC,8,8,2,2,4,7,9,-2
11,12,Torino FC,8,8,2,2,4,8,12,-4
12,13,Atalanta Bergame,8,9,2,2,5,5,12,-7
13,14,US Palerme,7,7,2,1,4,6,11,-5
14,15,Hellas Vérone,4,8,0,4,4,6,13,-7
15,16,Carpi FC 1909,4,8,1,1,6,8,22,-14
16,17,Genoa CFC,3,8,0,3,5,6,13,-7
17,18,Sampdoria Gênes,3,8,0,3,5,6,15,-9
18,19,Lazio Rome,3,7,1,0,6,4,17,-13
19,20,Frosinone Calcio,1,8,0,1,7,3,19,-16
