,0,1,2,3,4,5,6,7,8,9
0,1,Chelsea (ANG),60,26,18,6,2,56,22,+34
1,2,Manchester City (ANG),55,26,16,7,3,56,25,+31
2,3,FC Arsenal (ANG),48,26,14,6,6,49,29,+20
3,4,Manchester United (ANG),47,26,13,8,5,44,26,+18
4,5,Southampton (ANG),46,26,14,4,8,38,19,+19
5,6,FC Liverpool (ANG),45,26,13,6,7,38,29,+9
6,7,Tottenham Hotspur (ANG),44,26,13,5,8,41,36,+5
7,8,West Ham United (ANG),39,26,10,9,7,38,30,+8
8,9,Swansea City (GAL),37,26,10,7,9,30,34,-4
9,10,Stoke City (ANG),36,26,10,6,10,30,34,-4
10,11,Newcastle United (ANG),32,26,8,8,10,31,42,-11
11,12,Everton (ANG),28,26,6,10,10,33,37,-4
12,13,Crystal Palace (ANG),27,26,6,9,11,28,37,-9
13,14,West Bromwich Albion (ANG),27,26,6,9,11,24,34,-10
14,15,Hull City (ANG),26,26,6,8,12,25,35,-10
15,16,Sunderland (ANG),25,26,4,13,9,22,36,-14
16,17,Queens Park Rangers (ANG),22,26,6,4,16,27,45,-18
17,18,Burnley FC (ANG),22,26,4,10,12,25,44,-19
18,19,Aston Villa (ANG),22,26,5,7,14,13,36,-23
19,20,Leicester City (ANG),18,26,4,6,16,24,42,-18
