,0,1,2,3,4,5,6,7,8,9
0,1,Juventus Turin,68,30,21,5,4,59,19,+40
1,2,SSC Naples,59,30,17,8,5,55,29,+26
2,3,Milan AC,57,30,17,6,7,53,32,+21
3,4,Fiorentina,51,30,15,6,9,54,37,+17
4,5,Inter Milan,50,30,15,5,10,47,39,+8
5,6,Lazio Rome,50,30,15,5,10,39,36,+3
6,7,AS Rome,47,30,14,5,11,60,51,+9
7,8,Calcio Catane,45,30,13,6,11,40,38,+2
8,9,Udinese,42,30,10,12,8,38,38,0
9,10,Parme FC,38,30,10,8,12,39,39,0
10,11,Cagliari,38,30,10,8,12,37,49,-12
11,12,Bologne FC,36,30,10,6,14,39,38,+1
12,13,Sampdoria Gênes  ,36,30,10,7,13,35,35,0
13,14,Torino FC  ,35,30,8,12,10,37,41,-4
14,15,Chievo Vérone,35,30,10,5,15,31,45,-14
15,16,Atalanta Bergame  ,34,30,10,6,14,30,42,-12
16,17,Genoa CFC,27,30,6,9,15,31,47,-16
17,18,Sienne  ,26,30,8,8,14,31,42,-11
18,19,US Palerme,24,30,4,12,14,25,43,-18
19,20,Pescara Calcio,21,30,6,3,21,21,61,-40
