,0,1,2,3,4,5,6,7,8,9
0,1,Atlético Madrid,18,8,5,3,0,16,4,+12
1,2,FC Barcelone,17,7,5,2,0,14,3,+11
2,3,Valence CF,14,7,4,2,1,16,10,+6
3,4,Real Madrid,14,7,4,2,1,11,5,+6
4,5,Real Sociedad,10,7,3,1,3,12,12,0
5,6,Girona FC,9,6,2,3,1,9,9,0
6,7,CD Leganés,9,7,3,0,4,6,7,-1
7,8,FC Séville,9,7,3,0,4,6,11,-5
8,9,Villarreal CF,8,8,2,2,4,8,14,-6
9,10,Celta Vigo,7,7,2,1,4,15,12,+3
10,11,Getafe CF,7,7,1,4,2,7,8,-1
11,12,Levante UD,7,6,1,4,1,5,7,-2
12,13,Deportivo Alavés,6,7,2,0,5,6,11,-5
13,14,Eibar SD,6,7,2,0,5,5,19,-14
14,15,Athletic Bilbao,5,7,1,2,4,9,13,-4
15,16,Deportivo La Corogne,5,7,1,2,4,9,14,-5
16,17,Betis Séville,4,7,1,1,5,6,16,-10
17,18,Las Palmas UD,4,7,1,1,5,5,15,-10
18,19,Espanyol Barcelone,3,7,0,3,4,3,13,-10
19,20,Málaga CF,0,7,0,0,7,2,16,-14
