,0,1,2,3,4,5,6,7,8,9
0,1,Tottenham Hotspur (ANG),29,13,9,2,2,21,14,+7
1,2,FC Arsenal (ANG),26,13,8,2,3,26,20,+6
2,3,Chelsea (ANG),22,13,6,4,3,20,12,+8
3,4,Manchester City (ANG),21,13,6,3,4,26,18,+8
4,5,Manchester United (ANG),21,13,6,3,4,23,19,+4
5,6,FC Liverpool (ANG),19,13,5,4,4,28,23,+5
6,7,Southampton (ANG),19,13,5,4,4,16,13,+3
7,8,Newcastle United (ANG),19,13,6,1,6,15,19,-4
8,9,Everton (ANG),18,13,4,6,3,14,16,-2
9,10,Aston Villa (ANG),17,13,4,5,4,15,15,0
10,11,Sunderland (ANG),14,13,3,5,5,14,19,-5
11,12,West Ham United (ANG),13,13,3,4,6,11,14,-3
12,13,Swansea City (GAL),12,13,3,3,7,9,16,-7
13,14,Fulham (ANG),10,13,3,1,9,10,30,-20
14,15,West Bromwich Albion (ANG),9,13,1,6,6,15,23,-8
15,16,Crystal Palace (ANG),9,13,3,0,10,8,21,-13
16,17,Hull City (ANG),8,13,2,2,9,9,21,-12
17,18,Norwich City (ANG),8,13,2,2,9,8,28,-20
18,19,Stoke City (ANG),6,13,1,3,9,10,27,-17
19,20,Cardiff City FC (GAL),6,13,1,3,9,7,26,-19
