,0,1,2,3,4,5,6,7,8,9
0,1,Real Madrid,14,6,4,2,0,15,6,+9
1,2,FC Barcelone,13,6,4,1,1,19,6,+13
2,3,Atlético Madrid,12,6,3,3,0,12,2,+10
3,4,Villarreal CF,12,6,3,3,0,9,4,+5
4,5,Athletic Bilbao,12,6,4,0,2,9,6,+3
5,6,FC Séville,11,6,3,2,1,11,9,+2
6,7,Las Palmas UD,10,6,3,1,2,14,11,+3
7,8,Eibar SD,10,6,3,1,2,8,6,+2
8,9,Deportivo Alavés,9,6,2,3,1,7,5,+2
9,10,Betis Séville,8,6,2,2,2,8,11,-3
10,11,Real Sociedad,7,6,2,1,3,8,9,-1
11,12,Celta Vigo,7,6,2,1,3,5,8,-3
12,13,CD Leganés,7,6,2,1,3,6,10,-4
13,14,Sporting Gijon,7,6,2,1,3,5,14,-9
14,15,Valence CF,6,6,2,0,4,9,12,-3
15,16,Deportivo La Corogne,5,6,1,2,3,3,5,-2
16,17,Málaga CF,5,6,1,2,3,5,8,-3
17,18,Espanyol Barcelone,5,6,1,2,3,9,14,-5
18,19,Grenade CF,2,6,0,2,4,7,15,-8
19,20,Osasuna Pampelune,2,6,0,2,4,5,13,-8
