,0,1,2,3,4,5,6,7,8,9
0,1,Juventus Turin,62,28,19,5,4,55,18,+37
1,2,SSC Naples,53,28,15,8,5,47,24,+23
2,3,Milan AC,51,28,15,6,7,50,32,+18
3,4,Fiorentina,48,28,14,6,8,50,33,+17
4,5,Inter Milan,47,28,14,5,9,44,37,+7
5,6,Lazio Rome,47,28,14,5,9,37,34,+3
6,7,AS Rome,44,28,13,5,10,58,49,+9
7,8,Calcio Catane,42,28,12,6,10,36,35,+1
8,9,Udinese,41,28,10,11,7,37,35,+2
9,10,Bologne FC,35,28,10,5,13,39,36,+3
10,11,Sampdoria Gênes  ,35,28,10,6,12,35,33,+2
11,12,Parme FC,35,28,9,8,11,36,37,-1
12,13,Cagliari,34,28,9,7,12,35,48,-13
13,14,Atalanta Bergame  ,33,28,10,5,13,28,39,-11
14,15,Torino FC  ,32,28,7,12,9,33,36,-3
15,16,Chievo Vérone,32,28,9,5,14,29,44,-15
16,17,Genoa CFC,26,28,6,8,14,27,42,-15
17,18,Sienne  ,24,28,8,6,14,29,40,-11
18,19,Pescara Calcio,21,28,6,3,19,21,56,-35
19,20,US Palerme,21,28,3,12,13,23,41,-18
