,0,1,2,3,4,5,6,7,8,9
0,1,Bayern Munich,38,15,12,2,1,41,6,+35
1,2,Bayer Leverkusen,30,15,9,3,3,28,19,+9
2,3,Borussia Dortmund,27,15,7,6,2,30,16,+14
3,4,Schalke 04,25,15,7,4,4,25,19,+6
4,5,Eintracht Francfort,24,15,7,3,5,27,26,+1
5,6,1. FSV Mayence 05,23,15,7,2,6,21,18,+3
6,7,VfB Stuttgart,22,15,6,4,5,17,24,-7
7,8,Werder Brême,21,15,6,3,6,26,24,+2
8,9,Hambourg SV,21,15,6,3,6,16,18,-2
9,10,Borussia Mönchengladbach,21,15,5,6,4,22,25,-3
10,11,SC Fribourg,20,15,5,5,5,20,17,+3
11,12,Hanovre 96,20,15,6,2,7,28,27,+1
12,13,Fortuna Düsseldorf,18,15,4,6,5,18,19,-1
13,14,FC Nuremberg,16,15,4,4,7,14,21,-7
14,15,VfL Wolfsbourg,16,15,4,4,7,14,23,-9
15,16,TSG 1899 Hoffenheim,12,15,3,3,9,22,36,-14
16,17,FC Augsburg,8,15,1,5,9,11,26,-15
17,18,SpVgg Greuther Fürth,8,15,1,5,9,10,26,-16
