,0,1,2,3,4,5,6,7,8,9
0,1,Manchester City (ANG),33,11,11,0,0,42,8,+34
1,2,Chelsea (ANG),32,12,10,2,0,25,9,+16
2,3,FC Liverpool (ANG),31,12,10,1,1,33,8,+25
3,4,FC Arsenal (ANG),26,11,8,2,1,20,6,+14
4,5,Everton (ANG),24,11,7,3,1,21,9,+12
5,6,Manchester United (ANG),20,12,6,2,4,16,10,+6
6,7,Southampton (ANG),19,12,5,4,3,19,14,+5
7,8,Hull City (ANG),18,11,5,3,3,15,8,+7
8,9,Newcastle United (ANG),18,11,5,3,3,17,12,+5
9,10,Tottenham Hotspur (ANG),18,12,5,3,4,14,18,-4
10,11,Stoke City (ANG),17,11,4,5,2,14,12,+2
11,12,Crystal Palace (ANG),17,12,5,2,5,10,14,-4
12,13,Norwich City (ANG),16,12,4,4,4,11,11,0
13,14,Swansea City (GAL),13,12,3,4,5,21,20,+1
14,15,West Bromwich Albion (ANG),13,11,3,4,4,13,13,0
15,16,Cardiff City FC (GAL),12,11,3,3,5,10,17,-7
16,17,Sunderland (ANG),11,12,3,2,7,13,19,-6
17,18,Aston Villa (ANG),11,12,3,2,7,12,19,-7
18,19,Fulham (ANG),10,11,3,1,7,14,22,-8
19,20,West Ham United (ANG),9,11,2,3,6,13,19,-6
