,0
154,Angleterre2013/201426Journée  Domicile
155,Angleterre2013/201426Journée  Extérieur
156,Angleterre2013/201425Journée  Général
157,Angleterre2013/201425Journée  Domicile
158,Angleterre2013/201425Journée  Extérieur
159,Angleterre2013/201424Journée  Général
160,Angleterre2013/201424Journée  Domicile
161,Angleterre2013/201424Journée  Extérieur
162,Angleterre2013/201423Journée  Général
163,Angleterre2013/201423Journée  Domicile
164,Angleterre2013/201423Journée  Extérieur
165,Angleterre2013/201422Journée  Général
166,Angleterre2013/201422Journée  Domicile
167,Angleterre2013/201422Journée  Extérieur
168,Angleterre2013/201421Journée  Général
169,Angleterre2013/201421Journée  Domicile
170,Angleterre2013/201421Journée  Extérieur
171,Angleterre2013/201420Journée  Général
172,Angleterre2013/201420Journée  Domicile
173,Angleterre2013/201420Journée  Extérieur
174,Angleterre2013/201419Journée  Général
175,Angleterre2013/201419Journée  Domicile
176,Angleterre2013/201419Journée  Extérieur
177,Angleterre2013/201418Journée  Général
178,Angleterre2013/201418Journée  Domicile
179,Angleterre2013/201418Journée  Extérieur
180,Angleterre2013/201417Journée  Général
181,Angleterre2013/201417Journée  Domicile
182,Angleterre2013/201417Journée  Extérieur
183,Angleterre2013/201416Journée  Général
184,Angleterre2013/201416Journée  Domicile
185,Angleterre2013/201416Journée  Extérieur
186,Angleterre2013/201415Journée  Général
187,Angleterre2013/201415Journée  Domicile
188,Angleterre2013/201415Journée  Extérieur
189,Angleterre2013/201414Journée  Général
190,Angleterre2013/201414Journée  Domicile
191,Angleterre2013/201414Journée  Extérieur
192,Angleterre2013/201413Journée  Général
193,Angleterre2013/201413Journée  Domicile
194,Angleterre2013/201413Journée  Extérieur
195,Angleterre2013/2014Journée  Général
196,Angleterre2013/2014Journée  Domicile
197,Angleterre2013/2014Journée  Extérieur
198,Angleterre2013/201412Journée  Général
199,Angleterre2013/201412Journée  Domicile
200,Angleterre2013/201412Journée  Extérieur
201,Angleterre2013/201411Journée  Général
202,Angleterre2013/201411Journée  Domicile
203,Angleterre2013/201411Journée  Extérieur
204,Angleterre2013/201410Journée  Général
205,Angleterre2013/201410Journée  Domicile
206,Angleterre2013/201410Journée  Extérieur
207,Angleterre2013/20149Journée  Général
208,Angleterre2013/20149Journée  Domicile
209,Angleterre2013/20149Journée  Extérieur
210,Angleterre2013/20148Journée  Général
211,Angleterre2013/20148Journée  Domicile
212,Angleterre2013/20148Journée  Extérieur
213,Angleterre2013/20147Journée  Général
214,Angleterre2013/20147Journée  Domicile
215,Angleterre2013/20147Journée  Extérieur
216,Angleterre2013/20146Journée  Général
217,Angleterre2013/20146Journée  Domicile
218,Angleterre2013/20146Journée  Extérieur
219,Angleterre2013/20145Journée  Général
220,Angleterre2013/20145Journée  Domicile
221,Angleterre2013/20145Journée  Extérieur
222,Angleterre2013/20144Journée  Général
223,Angleterre2013/20144Journée  Domicile
224,Angleterre2013/20144Journée  Extérieur
225,Angleterre2013/20143Journée  Général
226,Angleterre2013/20143Journée  Domicile
227,Angleterre2013/20143Journée  Extérieur
228,Angleterre2013/20142Journée  Général
229,Angleterre2013/20142Journée  Domicile
230,Angleterre2013/20142Journée  Extérieur
231,Angleterre2014/201538Journée  Général
232,Angleterre2014/201538Journée  Domicile
233,Angleterre2014/201538Journée  Extérieur
234,Angleterre2014/201537Journée  Général
235,Angleterre2014/201537Journée  Domicile
236,Angleterre2014/201537Journée  Extérieur
237,Angleterre2014/201536Journée  Général
238,Angleterre2014/201536Journée  Domicile
239,Angleterre2014/201536Journée  Extérieur
240,Angleterre2014/201535Journée  Général
241,Angleterre2014/201535Journée  Domicile
242,Angleterre2014/201535Journée  Extérieur
243,Angleterre2014/201534Journée  Général
244,Angleterre2014/201534Journée  Domicile
245,Angleterre2014/201534Journée  Extérieur
246,Angleterre2014/201533Journée  Général
247,Angleterre2014/201533Journée  Domicile
248,Angleterre2014/201533Journée  Extérieur
249,Angleterre2014/201532Journée  Général
250,Angleterre2014/201532Journée  Domicile
251,Angleterre2014/201532Journée  Extérieur
252,Angleterre2014/201531Journée  Général
253,Angleterre2014/201531Journée  Domicile
254,Angleterre2014/201531Journée  Extérieur
255,Angleterre2014/201530Journée  Général
256,Angleterre2014/201530Journée  Domicile
257,Angleterre2014/201530Journée  Extérieur
258,Angleterre2014/201529Journée  Général
259,Angleterre2014/201529Journée  Domicile
260,Angleterre2014/201529Journée  Extérieur
261,Angleterre2014/201528Journée  Général
262,Angleterre2014/201528Journée  Domicile
263,Angleterre2014/201528Journée  Extérieur
264,Angleterre2014/201527Journée  Général
265,Angleterre2014/201527Journée  Domicile
266,Angleterre2014/201527Journée  Extérieur
267,Angleterre2014/201526Journée  Général
268,Angleterre2014/201526Journée  Domicile
269,Angleterre2014/201526Journée  Extérieur
270,Angleterre2014/201525Journée  Général
271,Angleterre2014/201525Journée  Domicile
272,Angleterre2014/201525Journée  Extérieur
273,Angleterre2014/201524Journée  Général
274,Angleterre2014/201524Journée  Domicile
275,Angleterre2014/201524Journée  Extérieur
276,Angleterre2014/201523Journée  Général
277,Angleterre2014/201523Journée  Domicile
278,Angleterre2014/201523Journée  Extérieur
279,Angleterre2014/201522Journée  Général
280,Angleterre2014/201522Journée  Domicile
281,Angleterre2014/201522Journée  Extérieur
282,Angleterre2014/201521Journée  Général
283,Angleterre2014/201521Journée  Domicile
284,Angleterre2014/201521Journée  Extérieur
285,Angleterre2014/201520Journée  Général
286,Angleterre2014/201520Journée  Domicile
287,Angleterre2014/201520Journée  Extérieur
288,Angleterre2014/201519Journée  Général
289,Angleterre2014/201519Journée  Domicile
290,Angleterre2014/201519Journée  Extérieur
291,Angleterre2014/201518Journée  Général
292,Angleterre2014/201518Journée  Domicile
293,Angleterre2014/201518Journée  Extérieur
294,Angleterre2014/201517Journée  Général
295,Angleterre2014/201517Journée  Domicile
296,Angleterre2014/201517Journée  Extérieur
297,Angleterre2014/201516Journée  Général
298,Angleterre2014/201516Journée  Domicile
299,Angleterre2014/201516Journée  Extérieur
300,Angleterre2014/201515Journée  Général
301,Angleterre2014/201515Journée  Domicile
302,Angleterre2014/201515Journée  Extérieur
303,Angleterre2014/201514Journée  Général
304,Angleterre2014/201514Journée  Domicile
305,Angleterre2014/201514Journée  Extérieur
306,Angleterre2014/201513Journée  Général
307,Angleterre2014/201513Journée  Domicile
308,Angleterre2014/201513Journée  Extérieur
309,Angleterre2014/201512Journée  Général
310,Angleterre2014/201512Journée  Domicile
311,Angleterre2014/201512Journée  Extérieur
312,Angleterre2014/201511Journée  Général
313,Angleterre2014/201511Journée  Domicile
314,Angleterre2014/201511Journée  Extérieur
315,Angleterre2014/201510Journée  Général
316,Angleterre2014/201510Journée  Domicile
317,Angleterre2014/201510Journée  Extérieur
318,Angleterre2014/20159Journée  Général
319,Angleterre2014/20159Journée  Domicile
320,Angleterre2014/20159Journée  Extérieur
321,Angleterre2014/20158Journée  Général
322,Angleterre2014/20158Journée  Domicile
323,Angleterre2014/20158Journée  Extérieur
324,Angleterre2014/20157Journée  Général
325,Angleterre2014/20157Journée  Domicile
326,Angleterre2014/20157Journée  Extérieur
327,Angleterre2014/20156Journée  Général
328,Angleterre2014/20156Journée  Domicile
329,Angleterre2014/20156Journée  Extérieur
330,Angleterre2014/20155Journée  Général
331,Angleterre2014/20155Journée  Domicile
332,Angleterre2014/20155Journée  Extérieur
333,Angleterre2014/20154Journée  Général
334,Angleterre2014/20154Journée  Domicile
335,Angleterre2014/20154Journée  Extérieur
336,Angleterre2014/20153Journée  Général
337,Angleterre2014/20153Journée  Domicile
338,Angleterre2014/20153Journée  Extérieur
339,Angleterre2014/20152Journée  Général
340,Angleterre2014/20152Journée  Domicile
341,Angleterre2014/20152Journée  Extérieur
342,Angleterre2015/201638Journée  Général
343,Angleterre2015/201638Journée  Domicile
344,Angleterre2015/201638Journée  Extérieur
345,Angleterre2015/201637Journée  Général
346,Angleterre2015/201637Journée  Domicile
347,Angleterre2015/201637Journée  Extérieur
348,Angleterre2015/201636Journée  Général
349,Angleterre2015/201636Journée  Domicile
350,Angleterre2015/201636Journée  Extérieur
351,Angleterre2015/201635Journée  Général
352,Angleterre2015/201635Journée  Domicile
353,Angleterre2015/201635Journée  Extérieur
354,Angleterre2015/201634Journée  Général
355,Angleterre2015/201634Journée  Domicile
356,Angleterre2015/201634Journée  Extérieur
357,Angleterre2015/201633Journée  Général
358,Angleterre2015/201633Journée  Domicile
359,Angleterre2015/201633Journée  Extérieur
360,Angleterre2015/201632Journée  Général
361,Angleterre2015/201632Journée  Domicile
362,Angleterre2015/201632Journée  Extérieur
363,Angleterre2015/201631Journée  Général
364,Angleterre2015/201631Journée  Domicile
365,Angleterre2015/201631Journée  Extérieur
366,Angleterre2015/201630Journée  Général
367,Angleterre2015/201630Journée  Domicile
368,Angleterre2015/201630Journée  Extérieur
369,Angleterre2015/201629Journée  Général
370,Angleterre2015/201629Journée  Domicile
371,Angleterre2015/201629Journée  Extérieur
372,Angleterre2015/201628Journée  Général
373,Angleterre2015/201628Journée  Domicile
374,Angleterre2015/201628Journée  Extérieur
375,Angleterre2015/201627Journée  Général
376,Angleterre2015/201627Journée  Domicile
377,Angleterre2015/201627Journée  Extérieur
378,Angleterre2015/201626Journée  Général
379,Angleterre2015/201626Journée  Domicile
380,Angleterre2015/201626Journée  Extérieur
381,Angleterre2015/201625Journée  Général
382,Angleterre2015/201625Journée  Domicile
383,Angleterre2015/201625Journée  Extérieur
384,Angleterre2015/201624Journée  Général
385,Angleterre2015/201624Journée  Domicile
386,Angleterre2015/201624Journée  Extérieur
387,Angleterre2015/201623Journée  Général
388,Angleterre2015/201623Journée  Domicile
389,Angleterre2015/201623Journée  Extérieur
390,Angleterre2015/201622Journée  Général
