,0,1,2,3,4,5,6,7,8,9
0,1,Manchester City (ANG),9,3,3,0,0,9,2,+7
1,2,Leicester City (ANG),7,3,2,1,0,5,1,+4
2,3,Everton (ANG),7,3,2,1,0,5,2,+3
3,-,Burnley FC (ANG),7,4,2,1,1,5,2,+3
4,5,Tottenham Hotspur (ANG),7,3,2,1,0,3,1,+2
5,6,FC Liverpool (ANG),6,2,2,0,0,9,2,+7
6,7,Manchester United (ANG),6,3,2,0,1,7,3,+4
7,8,FC Arsenal (ANG),6,3,2,0,1,8,5,+3
8,9,Chelsea (ANG),6,3,2,0,1,6,3,+3
9,10,Bournemouth (ANG),6,3,2,0,1,3,3,0
10,11,Southampton (ANG),5,3,1,2,0,3,2,+1
11,12,Crystal Palace (ANG),4,3,1,1,1,5,3,+2
12,13,West Bromwich Albion (ANG),4,3,1,1,1,5,4,+1
13,14,Watford (ANG),3,3,1,0,2,5,6,-1
14,15,Hull City (ANG),3,3,1,0,2,3,6,-3
15,16,West Ham United (ANG),3,3,1,0,2,3,7,-4
16,17,Middlesbrough (ANG),1,3,0,1,2,3,5,-2
17,18,Swansea City (GAL),1,3,0,1,2,3,7,-4
18,19,Stoke City (ANG),1,3,0,1,2,2,9,-7
19,20,Sunderland (ANG),0,3,0,0,3,3,8,-5
