,0,1,2,3,4,5,6,7,8,9
0,1,FC Arsenal (ANG),29,15,9,2,4,27,21,+6
1,2,Tottenham Hotspur (ANG),29,15,9,2,4,21,19,+2
2,3,Manchester City (ANG),27,15,8,3,4,31,18,+13
3,4,Manchester United (ANG),27,15,8,3,4,28,19,+9
4,5,FC Liverpool (ANG),25,15,7,4,4,34,23,+11
5,6,Chelsea (ANG),25,15,7,4,4,23,14,+9
6,7,Southampton (ANG),22,15,6,4,5,18,16,+2
7,8,Newcastle United (ANG),22,15,7,1,7,19,21,-2
8,9,Everton (ANG),21,15,5,6,4,17,17,0
9,10,Aston Villa (ANG),17,15,4,5,6,15,20,-5
10,11,Sunderland (ANG),14,15,3,5,7,16,25,-9
11,12,West Ham United (ANG),13,15,3,4,8,12,18,-6
12,13,Swansea City (GAL),13,15,3,4,8,14,22,-8
13,14,West Bromwich Albion (ANG),12,15,2,6,7,17,26,-9
14,15,Hull City (ANG),11,15,3,2,10,14,23,-9
15,16,Crystal Palace (ANG),11,15,3,2,10,9,22,-13
16,17,Fulham (ANG),11,15,3,2,10,12,34,-22
17,18,Norwich City (ANG),8,15,2,2,11,11,36,-25
18,19,Stoke City (ANG),7,15,1,4,10,11,29,-18
19,20,Cardiff City FC (GAL),6,15,1,3,11,8,29,-21
