,0,1,2,3,4,5,6,7,8,9
0,1,Bayern Munich,39,16,12,3,1,27,8,+19
1,2,Borussia Dortmund,33,16,10,3,3,33,19,+14
2,3,Bayer Leverkusen,27,16,8,3,5,24,21,+3
3,4,Darmstadt 98,23,16,6,5,5,21,23,-2
4,5,FC Augsburg,22,16,6,4,6,23,24,-1
5,6,FC Cologne,21,15,5,6,4,20,22,-2
6,7,1. FSV Mayence 05,19,16,5,4,7,20,23,-3
7,8,Hambourg SV,18,15,5,3,7,17,22,-5
8,9,Schalke 04,17,15,5,2,8,16,23,-7
9,10,Hertha Berlin,17,15,5,2,8,17,25,-8
10,11,Werder Brême,17,16,5,2,9,23,35,-12
11,12,VfB Stuttgart,14,15,3,5,7,25,34,-9
12,13,FC Ingolstadt 04,14,15,3,5,7,8,19,-11
13,14,TSG 1899 Hoffenheim,13,16,3,4,9,17,28,-11
14,15,Hanovre 96,13,16,3,4,9,15,29,-14
15,16,Borussia Mönchengladbach,11,15,3,2,10,22,31,-9
16,17,VfL Wolfsbourg,10,15,2,4,9,13,27,-14
17,18,Eintracht Francfort,9,15,2,3,10,10,26,-16
