,0,1,2,3,4,5,6,7,8,9
0,1,Atlético Madrid,41,19,13,2,4,28,16,+12
1,2,Real Madrid,38,19,11,5,3,41,21,+20
2,3,FC Barcelone,37,19,11,4,4,36,18,+18
3,4,Athletic Bilbao,27,19,7,6,6,24,21,+3
4,5,Villarreal CF,26,19,8,2,9,24,23,+1
5,6,FC Séville,26,19,7,5,7,29,31,-2
6,7,Celta Vigo,24,19,8,0,11,26,31,-5
7,8,Real Sociedad,22,19,5,7,7,24,36,-12
8,9,Levante UD,21,19,5,6,8,16,27,-11
9,10,Málaga CF,19,19,4,7,8,15,25,-10
10,11,Grenade CF,19,19,5,4,10,14,34,-20
11,12,Rayo Vallecano,19,19,5,4,10,18,44,-26
12,13,Getafe CF,18,19,5,3,11,15,30,-15
13,14,Espanyol Barcelone,16,19,4,4,11,18,29,-11
14,15,Valence CF,16,19,3,7,9,16,29,-13
15,16,UD Almería,16,19,5,1,13,17,40,-23
16,17,Osasuna Pampelune,16,19,4,4,11,12,37,-25
17,18,Elche CF,14,19,3,5,11,17,38,-21
18,19,Real Valladolid,9,19,1,6,12,18,43,-25
19,20,Betis Séville,7,19,1,4,14,17,47,-30
