,0,1,2,3,4,5,6,7,8,9
0,1,FC Barcelone,38,16,12,2,2,46,22,+24
1,2,Real Madrid,27,16,8,3,5,30,16,+14
2,3,Atlético Madrid,25,16,7,4,5,17,17,0
3,4,Real Sociedad,23,16,6,5,5,25,24,+1
4,5,Betis Séville,23,16,7,2,7,26,32,-6
5,6,Málaga CF,22,16,6,4,6,17,21,-4
6,7,Espanyol Barcelone,19,16,5,4,7,18,18,0
7,8,Valence CF,17,15,4,5,6,15,21,-6
8,9,Rayo Vallecano,17,16,5,2,9,18,31,-13
9,10,Real Valladolid,16,16,4,4,8,14,22,-8
10,11,Getafe CF,16,16,4,4,8,17,29,-12
11,12,Real Saragosse,14,17,4,2,11,14,31,-17
12,13,Levante UD,14,17,3,5,9,13,30,-17
13,-,Grenade CF,14,16,4,2,10,13,30,-17
14,15,Athletic Bilbao,13,16,3,4,9,17,34,-17
15,16,Osasuna Pampelune,12,15,3,3,9,14,23,-9
16,17,Deportivo La Corogne,11,16,2,5,9,22,39,-17
17,18,Real Majorque,9,16,2,3,11,14,37,-23
18,19,FC Séville,8,16,1,5,10,15,30,-15
19,20,Celta Vigo,4,16,1,1,14,11,30,-19
