,0,1,2,3,4,5,6,7,8,9
0,1,Leicester City (ANG),73,34,21,10,3,59,33,+26
1,2,Tottenham Hotspur (ANG),68,34,19,11,4,64,25,+39
2,3,FC Arsenal (ANG),63,34,18,9,7,58,34,+24
3,4,Manchester City (ANG),61,34,18,7,9,62,34,+28
4,5,Manchester United (ANG),59,34,17,8,9,42,30,+12
5,6,West Ham United (ANG),56,34,14,14,6,57,43,+14
6,7,FC Liverpool (ANG),55,34,15,10,9,57,44,+13
7,8,Southampton (ANG),51,34,14,9,11,45,35,+10
8,9,Stoke City (ANG),47,34,13,8,13,37,47,-10
9,10,Chelsea (ANG),45,34,11,12,11,50,46,+4
10,11,Watford (ANG),41,34,11,8,15,33,40,-7
11,12,Bournemouth (ANG),41,34,11,8,15,41,57,-16
12,13,Everton (ANG),40,34,9,13,12,53,51,+2
13,14,Swansea City (GAL),40,34,10,10,14,34,45,-11
14,15,West Bromwich Albion (ANG),40,34,10,10,14,31,42,-11
15,16,Crystal Palace (ANG),38,34,10,8,16,36,45,-9
16,17,Sunderland (ANG),33,34,8,9,17,42,57,-15
17,18,Norwich City (ANG),31,34,8,7,19,35,60,-25
18,19,Newcastle United (ANG),29,34,7,8,19,36,62,-26
19,20,Aston Villa (ANG),16,34,3,7,24,23,65,-42
