,0
162,Espagne2017/20189Journée  Général
163,Espagne2017/20189Journée  Domicile
164,Espagne2017/20189Journée  Extérieur
165,Espagne2017/20188Journée  Général
166,Espagne2017/20188Journée  Domicile
167,Espagne2017/20188Journée  Extérieur
168,Espagne2017/20187Journée  Général
169,Espagne2017/20187Journée  Domicile
170,Espagne2017/20187Journée  Extérieur
171,Espagne2017/20186Journée  Général
172,Espagne2017/20186Journée  Domicile
173,Espagne2017/20186Journée  Extérieur
174,Espagne2017/20185Journée  Général
175,Espagne2017/20185Journée  Domicile
176,Espagne2017/20185Journée  Extérieur
177,Espagne2017/20184Journée  Général
178,Espagne2017/20184Journée  Domicile
179,Espagne2017/20184Journée  Extérieur
180,Espagne2017/20183Journée  Général
181,Espagne2017/20183Journée  Domicile
182,Espagne2017/20183Journée  Extérieur
183,Espagne2017/20182Journée  Général
184,Espagne2017/20182Journée  Domicile
185,Espagne2017/20182Journée  Extérieur
186,Allemagne2016/201734Journée  Général
