,0,1,2,3,4,5,6,7,8,9
0,1,FC Barcelone,48,17,16,0,1,61,12,+49
1,2,Atlético Madrid,48,18,15,3,0,48,9,+39
2,3,Real Madrid,45,17,15,0,2,58,14,+44
3,4,Athletic Bilbao,42,18,13,3,2,41,17,+24
4,5,Real Sociedad,36,17,11,3,3,36,16,+20
5,6,FC Séville,33,17,10,3,4,37,20,+17
6,7,Villarreal CF,30,18,8,6,4,32,21,+11
7,8,Valence CF,30,18,9,3,6,33,23,+10
8,9,Espanyol Barcelone,25,18,7,4,7,22,21,+1
9,10,Elche CF,25,18,6,7,5,13,12,+1
10,11,Real Valladolid,24,17,5,9,3,19,16,+3
11,12,Rayo Vallecano,24,17,8,0,9,27,31,-4
12,13,Málaga CF,23,17,7,2,8,23,20,+3
13,14,Celta Vigo,22,18,5,7,6,21,23,-2
14,15,Grenade CF,22,18,7,1,10,18,20,-2
15,16,Levante UD,21,17,5,6,6,15,16,-1
16,17,Getafe CF,21,18,5,6,7,19,24,-5
17,18,Osasuna Pampelune,20,17,5,5,7,18,22,-4
18,19,UD Almería,20,17,5,5,7,23,29,-6
19,20,Betis Séville,15,18,4,3,11,15,28,-13
