,0,1,2,3,4,5,6,7,8,9
0,1,Eintracht Francfort,10,4,3,1,0,10,7,+3
1,2,Bayern Munich,9,3,3,0,0,12,2,+10
2,3,Borussia Dortmund,9,3,3,0,0,10,1,+9
3,4,Hanovre 96,7,3,2,1,0,9,5,+4
4,5,Bayer Leverkusen,7,3,2,1,0,5,1,+4
5,6,Schalke 04,6,3,2,0,1,6,3,+3
6,7,Hambourg SV,6,3,2,0,1,4,3,+1
7,8,SC Fribourg,4,3,1,1,1,7,6,+1
8,9,Borussia Mönchengladbach,4,3,1,1,1,6,6,0
9,10,Werder Brême,4,3,1,1,1,4,4,0
10,11,TSG 1899 Hoffenheim,4,3,1,1,1,3,5,-2
11,12,1. FSV Mayence 05,3,2,1,0,1,2,1,+1
12,13,Fortuna Düsseldorf,3,3,0,3,0,2,2,0
13,14,FC Nuremberg,1,3,0,1,2,2,5,-3
14,15,FC Augsburg,1,3,0,1,2,1,5,-4
15,16,VfB Stuttgart,1,3,0,1,2,0,4,-4
16,17,VfL Wolfsbourg,1,3,0,1,2,1,7,-6
17,18,SpVgg Greuther Fürth,0,3,0,0,3,0,7,-7
