,0,1,2,3,4,5,6,7,8,9
0,1,FC Arsenal (ANG),6,2,2,0,0,6,2,+4
1,2,Swansea City (GAL),6,3,2,0,1,4,1,+3
2,3,Aston Villa (ANG),6,3,2,0,1,5,3,+2
3,4,Southampton (ANG),6,3,2,0,1,2,1,+1
4,-,Tottenham Hotspur (ANG),6,3,2,0,1,2,1,+1
5,6,Everton (ANG),5,3,1,2,0,5,4,+1
6,7,FC Liverpool (ANG),4,2,1,1,0,3,2,+1
7,8,Manchester United (ANG),3,3,1,0,2,5,6,-1
8,9,Stoke City (ANG),3,3,1,0,2,2,4,-2
9,10,Fulham (ANG),3,3,1,0,2,1,3,-2
10,11,Hull City (ANG),3,3,1,0,2,3,6,-3
11,12,Newcastle United (ANG),3,2,1,0,1,2,5,-3
12,13,West Bromwich Albion (ANG),2,2,0,2,0,1,1,0
13,14,West Ham United (ANG),2,2,0,2,0,0,0,0
14,15,Manchester City (ANG),1,2,0,1,1,2,3,-1
15,16,Chelsea (ANG),1,2,0,1,1,0,1,-1
16,17,Cardiff City FC (GAL),1,2,0,1,1,1,3,-2
17,18,Sunderland (ANG),1,3,0,1,2,2,7,-5
18,19,Crystal Palace (ANG),0,2,0,0,2,1,4,-3
19,20,Norwich City (ANG),0,2,0,0,2,0,3,-3
