,0,1,2,3,4,5,6,7,8,9
0,1,OGC Nice,33,14,10,3,1,26,10,+16
1,2,AS Monaco,32,14,10,2,2,43,15,+28
2,3,Paris SG,32,14,10,2,2,28,8,+20
3,4,Stade Rennais,24,14,7,3,4,15,17,-2
4,5,En Avant Guingamp,23,14,6,5,3,19,14,+5
5,6,Girondins de Bordeaux,23,14,6,5,3,19,16,+3
6,7,Olympique Lyonnais,22,14,7,1,6,22,18,+4
7,8,AS Saint-Etienne,21,14,5,6,3,16,12,+4
8,9,Toulouse FC,19,14,5,4,5,17,13,+4
9,10,SCO Angers,18,14,5,3,6,13,14,-1
10,11,FC Metz,18,14,5,3,6,16,25,-9
11,12,Olympique de Marseille,17,14,4,5,5,13,17,-4
12,13,Montpellier Herault SC,16,14,3,7,4,20,27,-7
13,14,Dijon FCO,14,14,3,5,6,18,21,-3
14,15,SM Caen,14,14,4,2,8,11,23,-12
15,16,Bastia SC,13,14,3,4,7,11,14,-3
16,17,FC Nantes Atlantique,13,14,3,4,7,9,18,-9
17,18,Nancy,13,14,3,4,7,8,19,-11
18,19,Lille OSC,11,14,3,2,9,10,19,-9
19,20,Lorient,8,14,2,2,10,12,26,-14
