,0,1,2,3,4,5,6,7,8,9
0,1,Bayern Munich,37,14,12,1,1,40,5,+35
1,2,Bayer Leverkusen,27,14,8,3,3,27,19,+8
2,3,Borussia Dortmund,26,14,7,5,2,29,15,+14
3,4,Schalke 04,24,14,7,3,4,24,18,+6
4,5,Eintracht Francfort,24,14,7,3,4,27,22,+5
5,6,Hanovre 96,20,14,6,2,6,27,25,+2
6,7,1. FSV Mayence 05,20,14,6,2,6,19,17,+2
7,8,Hambourg SV,20,14,6,2,6,15,17,-2
8,9,Borussia Mönchengladbach,20,14,5,5,4,21,24,-3
9,10,SC Fribourg,19,14,5,4,5,19,16,+3
10,11,VfB Stuttgart,19,14,5,4,5,16,24,-8
11,12,Werder Brême,18,14,5,3,6,22,23,-1
12,13,FC Nuremberg,16,14,4,4,6,14,20,-6
13,14,Fortuna Düsseldorf,15,14,3,6,5,14,19,-5
14,15,VfL Wolfsbourg,15,14,4,3,7,13,22,-9
15,16,TSG 1899 Hoffenheim,12,14,3,3,8,21,32,-11
16,17,SpVgg Greuther Fürth,8,14,1,5,8,10,25,-15
17,18,FC Augsburg,7,14,1,4,9,10,25,-15
