,0,1,2,3,4,5,6,7,8,9
0,1,Paris SG,70,33,21,7,5,60,20,+40
1,2,Olympique de Marseille,61,33,18,7,8,37,32,+5
2,3,Olympique Lyonnais,59,33,17,8,8,54,35,+19
3,4,AS Saint-Etienne,57,33,15,12,6,55,27,+28
4,5,Lille OSC,56,33,15,11,7,50,32,+18
5,6,OGC Nice,54,33,15,9,9,48,40,+8
6,7,Lorient,50,33,13,11,9,53,51,+2
7,8,Montpellier Herault SC,48,33,14,6,13,50,43,+7
8,9,Girondins de Bordeaux,47,33,11,14,8,35,30,+5
9,10,Stade Rennais,42,33,12,6,15,44,49,-5
10,11,Toulouse FC,41,33,10,11,12,40,42,-2
11,12,Valenciennes,40,33,10,10,13,42,48,-6
12,13,Bastia SC,39,33,11,6,16,44,62,-18
13,14,Reims,37,33,9,10,14,31,38,-7
14,15,Ajaccio AC  ,35,33,8,13,12,35,45,-10
15,16,Evian Thonon Gaillard,34,33,8,10,15,39,49,-10
16,17,Nancy,34,33,8,10,15,33,49,-16
17,18,Sochaux-Montbélliard,33,33,8,9,16,34,52,-18
18,19,Brest,29,33,8,5,20,29,51,-22
19,20,ESTAC Troyes,28,33,5,13,15,38,56,-18
