,0,1,2,3,4,5,6,7,8,9
0,1,Bayern Munich,23,9,7,2,0,23,4,+19
1,2,Bayer Leverkusen,15,9,5,0,4,11,9,+2
2,3,Schalke 04,15,10,4,3,3,17,16,+1
3,4,Borussia Dortmund,14,8,4,2,2,16,10,+6
4,5,1. FSV Mayence 05,13,9,4,1,4,15,20,-5
5,6,Hertha Berlin,12,9,3,3,3,13,13,0
6,7,VfL Wolfsbourg,11,9,3,2,4,11,13,-2
7,8,Eintracht Francfort,11,9,3,2,4,10,15,-5
8,9,TSG 1899 Hoffenheim,10,9,3,1,5,16,20,-4
9,10,VfB Stuttgart,10,9,3,1,5,16,21,-5
10,11,Hambourg SV,9,9,2,3,4,20,21,-1
11,12,FC Augsburg,9,10,2,3,5,8,15,-7
12,13,Borussia Mönchengladbach,8,8,2,2,4,10,12,-2
13,14,Werder Brême,8,9,2,2,5,12,19,-7
14,15,SC Fribourg,8,9,2,2,5,9,16,-7
15,16,FC Nuremberg,6,9,0,6,3,12,19,-7
16,17,Eintracht Braunschweig,5,9,1,2,6,5,18,-13
17,18,Hanovre 96,3,9,1,0,8,9,21,-12
