,0,1,2,3,4,5,6,7,8,9
0,1,FC Barcelone,25,9,8,1,0,28,6,+22
1,2,Atlético Madrid,24,9,8,0,1,21,7,+14
2,3,Real Madrid,22,9,7,1,1,19,9,+10
3,4,Villarreal CF,17,9,5,2,2,15,9,+6
4,5,Getafe CF,16,9,5,1,3,14,11,+3
5,6,Athletic Bilbao,16,9,5,1,3,15,13,+2
6,7,Espanyol Barcelone,14,9,4,2,3,12,11,+1
7,8,Valence CF,13,9,4,1,4,12,13,-1
8,9,Levante UD,13,9,3,4,2,9,14,-5
9,10,Elche CF,12,9,3,3,3,10,12,-2
10,11,FC Séville,10,9,2,4,3,15,16,-1
11,12,Real Sociedad,10,9,2,4,3,8,10,-2
12,13,Málaga CF,9,9,2,3,4,11,9,+2
13,14,Rayo Vallecano,9,9,3,0,6,7,21,-14
14,15,Betis Séville,8,9,2,2,5,9,12,-3
15,16,Grenade CF,8,9,2,2,5,5,10,-5
16,17,Real Valladolid,7,9,1,4,4,9,15,-6
17,18,Osasuna Pampelune,7,9,2,1,6,6,13,-7
18,19,Celta Vigo,6,9,1,3,5,8,13,-5
19,20,UD Almería,3,9,0,3,6,11,20,-9
