,0,1,2,3,4,5,6,7,8,9
0,1,Paris SG,79,33,24,7,2,74,19,+55
1,2,AS Monaco,69,33,20,9,4,54,27,+27
2,3,Lille OSC,63,33,18,9,6,38,20,+18
3,4,AS Saint-Etienne,56,33,16,8,9,46,31,+15
4,5,Olympique Lyonnais,54,33,15,9,9,49,38,+11
5,6,Olympique de Marseille,51,33,14,9,10,46,36,+10
6,7,Girondins de Bordeaux,45,33,11,12,10,40,38,+2
7,8,Reims,45,33,11,12,10,41,45,-4
8,9,Toulouse FC,44,33,11,11,11,41,47,-6
9,10,Lorient,41,33,11,8,14,40,44,-4
10,11,Bastia SC,41,33,10,9,14,36,50,-14
11,12,FC Nantes Atlantique  ,40,33,11,8,14,29,36,-7
12,13,OGC Nice,39,33,11,6,16,29,38,-9
13,14,Stade Rennais,38,33,9,11,13,40,40,0
14,15,Montpellier Herault SC,38,33,7,17,9,39,40,-1
15,16,Evian Thonon Gaillard,38,33,9,11,13,33,47,-14
16,17,En Avant Guingamp,35,33,9,8,16,29,35,-6
17,18,Sochaux-Montbélliard,30,33,7,9,17,31,56,-25
18,19,Valenciennes,29,33,7,8,18,33,52,-19
19,20,Ajaccio AC,20,33,3,11,19,32,61,-29
