,0,1,2,3,4,5,6,7,8,9
0,1,Atlético Madrid,33,11,11,0,0,32,6,+26
1,2,FC Barcelone,28,10,9,1,0,34,8,+26
2,3,Real Madrid,26,10,8,2,0,32,8,+24
3,4,Levante UD,22,10,7,1,2,20,13,+7
4,5,Rayo Vallecano,22,11,7,1,3,17,13,+4
5,6,Valence CF,22,11,7,1,3,22,20,+2
6,7,Real Sociedad,21,11,6,3,2,17,8,+9
7,8,Málaga CF,20,11,6,2,3,25,13,+12
8,9,FC Séville,19,10,6,1,3,18,11,+7
9,10,Real Valladolid,18,11,5,3,3,21,13,+8
10,11,Athletic Bilbao,17,11,5,2,4,15,13,+2
11,12,Celta Vigo,16,10,4,4,2,13,8,+5
12,13,Betis Séville,16,11,5,1,5,14,13,+1
13,14,Espanyol Barcelone,15,11,4,3,4,15,17,-2
14,15,Getafe CF,15,10,4,3,3,13,15,-2
15,16,Osasuna Pampelune,13,11,3,4,4,10,8,+2
16,17,Deportivo La Corogne,11,10,3,2,5,13,16,-3
17,18,Real Majorque,11,10,3,2,5,12,18,-6
18,19,Real Saragosse,10,10,3,1,6,11,12,-1
19,20,Grenade CF,10,10,2,4,4,9,10,-1
