,0,1,2,3,4,5,6,7,8,9
0,1,SSC Naples,40,18,12,4,2,46,18,+28
1,2,AS Rome,35,18,11,2,5,35,17,+18
2,3,Juventus Turin,33,18,10,3,5,27,17,+10
3,4,Lazio Rome,32,18,9,5,4,33,25,+8
4,5,Atalanta Bergame,29,18,8,5,5,30,23,+7
5,6,Milan AC,25,18,6,7,5,24,23,+1
6,7,Inter Milan,23,18,7,2,9,25,26,-1
7,8,Fiorentina,22,18,6,4,8,28,30,-2
8,-,US Sassuolo Calcio,22,18,6,4,8,28,30,-2
9,10,Chievo Vérone,20,18,6,2,10,18,30,-12
10,11,Torino FC,18,18,4,6,8,27,33,-6
11,12,Sampdoria Gênes,17,18,4,5,9,20,31,-11
12,13,Udinese,16,18,4,4,10,15,28,-13
13,14,Bologne FC,15,18,3,6,9,16,30,-14
14,15,Empoli FC,13,18,3,4,11,12,30,-18
15,16,Crotone,12,18,3,3,12,13,30,-17
16,17,Cagliari,11,18,3,2,13,15,36,-21
17,18,US Palerme,11,18,2,5,11,20,45,-25
18,19,Genoa CFC,11,18,3,2,13,12,37,-25
19,20,Pescara Calcio,6,18,1,3,14,16,41,-25
