,0,1,2,3,4,5,6,7,8,9
0,1,Bayern Munich,62,22,20,2,0,61,9,+52
1,2,Bayer Leverkusen,43,22,14,1,7,39,25,+14
2,3,Borussia Dortmund,42,22,13,3,6,51,27,+24
3,4,Schalke 04,41,22,12,5,5,41,30,+11
4,5,VfL Wolfsbourg,39,22,12,3,7,38,26,+12
5,6,Borussia Mönchengladbach,35,22,10,5,7,39,28,+11
6,7,Hertha Berlin,34,22,10,4,8,34,27,+7
7,8,FC Augsburg,34,22,10,4,8,34,32,+2
8,9,1. FSV Mayence 05,34,22,10,4,8,31,35,-4
9,10,TSG 1899 Hoffenheim,26,22,6,8,8,46,46,0
10,11,Hanovre 96,24,22,7,3,12,29,41,-12
11,12,FC Nuremberg,23,22,4,11,7,27,37,-10
12,13,Eintracht Francfort,22,22,5,7,10,24,38,-14
13,14,Werder Brême,22,22,5,7,10,25,46,-21
14,15,VfB Stuttgart,19,22,5,4,13,35,47,-12
15,16,Hambourg SV,19,22,5,4,13,38,51,-13
16,17,SC Fribourg,18,22,4,6,12,22,44,-22
17,18,Eintracht Braunschweig,15,22,4,3,15,16,41,-25
