,0,1,2,3,4,5,6,7,8,9
0,1,Juventus Turin,29,14,8,5,1,21,7,+14
1,2,Fiorentina,24,14,7,3,4,21,17,+4
2,3,AS Rome,23,13,6,5,2,14,11,+3
3,4,Lazio Rome,22,14,6,4,4,22,14,+8
4,5,SSC Naples,21,14,6,3,5,16,16,0
5,6,Genoa CFC,20,13,5,5,3,20,16,+4
6,7,Sampdoria Gênes,20,14,5,5,4,17,18,-1
7,8,Inter Milan,18,14,4,6,4,17,19,-2
8,9,Chievo Vérone,17,13,5,2,6,10,15,-5
9,10,Torino FC,15,13,4,3,6,15,19,-4
10,11,US Sassuolo Calcio,14,14,3,5,6,16,25,-9
11,12,Hellas Vérone,14,14,3,5,6,16,28,-12
12,13,Milan AC,13,13,2,7,4,18,21,-3
13,14,Udinese,13,14,3,4,7,10,19,-9
14,15,Empoli FC,12,13,1,9,3,13,16,-3
15,16,Cagliari,11,13,2,5,6,18,24,-6
16,17,Atalanta Bergame,11,14,2,5,7,8,17,-9
17,18,US Palerme,9,13,1,6,6,17,26,-9
18,19,AC Cesena,6,13,1,3,9,10,25,-15
19,20,Parme FC  ,4,13,1,1,11,9,32,-23
