,0,1,2,3,4,5,6,7,8,9
0,1,Paris SG,96,38,30,6,2,102,19,+83
1,2,Olympique Lyonnais,65,38,19,8,11,67,43,+24
2,3,AS Monaco,65,38,17,14,7,57,50,+7
3,4,OGC Nice,63,38,18,9,11,58,41,+17
4,5,Lille OSC,60,38,15,15,8,39,27,+12
5,6,AS Saint-Etienne,58,38,17,7,14,42,37,+5
6,7,SM Caen,54,38,16,6,16,39,52,-13
7,8,Stade Rennais,52,38,13,13,12,52,54,-2
8,9,SCO Angers,50,38,13,11,14,40,38,+2
9,10,Bastia SC,50,38,14,8,16,36,42,-6
10,11,Girondins de Bordeaux,50,38,12,14,12,50,57,-7
11,12,Montpellier Herault SC,49,38,14,7,17,49,47,+2
12,13,Olympique de Marseille,48,38,10,18,10,48,42,+6
13,14,FC Nantes Atlantique,48,38,12,12,14,33,44,-11
14,15,Lorient,46,38,11,13,14,47,58,-11
15,16,En Avant Guingamp,44,38,11,11,16,47,56,-9
16,17,Toulouse FC,40,38,9,13,16,45,55,-10
17,18,Reims,39,38,10,9,19,44,57,-13
18,19,Ajaccio Gazélec,37,38,8,13,17,37,58,-21
19,20,ESTAC Troyes,18,38,3,9,26,28,83,-55
