,0
191,France2013/201413Journée  Extérieur
192,France2013/201412Journée  Général
193,France2013/201412Journée  Domicile
194,France2013/201412Journée  Extérieur
195,France2013/201411Journée  Général
196,France2013/201411Journée  Domicile
197,France2013/201411Journée  Extérieur
198,France2013/201410Journée  Général
199,France2013/201410Journée  Domicile
200,France2013/201410Journée  Extérieur
201,France2013/20149Journée  Général
202,France2013/20149Journée  Domicile
203,France2013/20149Journée  Extérieur
204,France2013/20148Journée  Général
205,France2013/20148Journée  Domicile
206,France2013/20148Journée  Extérieur
207,France2013/20147Journée  Général
208,France2013/20147Journée  Domicile
209,France2013/20147Journée  Extérieur
210,France2013/20146Journée  Général
211,France2013/20146Journée  Domicile
212,France2013/20146Journée  Extérieur
213,France2013/20145Journée  Général
214,France2013/20145Journée  Domicile
215,France2013/20145Journée  Extérieur
216,France2013/20144Journée  Général
217,France2013/20144Journée  Domicile
218,France2013/20144Journée  Extérieur
219,France2013/20143Journée  Général
220,France2013/20143Journée  Domicile
221,France2013/20143Journée  Extérieur
222,France2013/20142Journée  Général
223,France2013/20142Journée  Domicile
224,France2013/20142Journée  Extérieur
225,France2014/201538Journée  Général
226,France2014/201538Journée  Domicile
227,France2014/201538Journée  Extérieur
228,France2014/201537Journée  Général
229,France2014/201537Journée  Domicile
230,France2014/201537Journée  Extérieur
231,France2014/201536Journée  Général
232,France2014/201536Journée  Domicile
233,France2014/201536Journée  Extérieur
234,France2014/201535Journée  Général
235,France2014/201535Journée  Domicile
236,France2014/201535Journée  Extérieur
237,France2014/201534Journée  Général
238,France2014/201534Journée  Domicile
239,France2014/201534Journée  Extérieur
240,France2014/201533Journée  Général
241,France2014/201533Journée  Domicile
242,France2014/201533Journée  Extérieur
243,France2014/201532Journée  Général
244,France2014/201532Journée  Domicile
245,France2014/201532Journée  Extérieur
246,France2014/201531Journée  Général
247,France2014/201531Journée  Domicile
248,France2014/201531Journée  Extérieur
249,France2014/201530Journée  Général
250,France2014/201530Journée  Domicile
251,France2014/201530Journée  Extérieur
252,France2014/201529Journée  Général
253,France2014/201529Journée  Domicile
254,France2014/201529Journée  Extérieur
255,France2014/201528Journée  Général
256,France2014/201528Journée  Domicile
257,France2014/201528Journée  Extérieur
258,France2014/201527Journée  Général
259,France2014/201527Journée  Domicile
260,France2014/201527Journée  Extérieur
261,France2014/201526Journée  Général
262,France2014/201526Journée  Domicile
263,France2014/201526Journée  Extérieur
264,France2014/201525Journée  Général
265,France2014/201525Journée  Domicile
266,France2014/201525Journée  Extérieur
267,France2014/201524Journée  Général
268,France2014/201524Journée  Domicile
269,France2014/201524Journée  Extérieur
270,France2014/201523Journée  Général
271,France2014/201523Journée  Domicile
272,France2014/201523Journée  Extérieur
273,France2014/201522Journée  Général
274,France2014/201522Journée  Domicile
275,France2014/201522Journée  Extérieur
276,France2014/201521Journée  Général
277,France2014/201521Journée  Domicile
278,France2014/201521Journée  Extérieur
279,France2014/201520Journée  Général
280,France2014/201520Journée  Domicile
281,France2014/201520Journée  Extérieur
282,France2014/201519Journée  Général
283,France2014/201519Journée  Domicile
284,France2014/201519Journée  Extérieur
285,France2014/201518Journée  Général
286,France2014/201518Journée  Domicile
287,France2014/201518Journée  Extérieur
288,France2014/201517Journée  Général
289,France2014/201517Journée  Domicile
290,France2014/201517Journée  Extérieur
291,France2014/201516Journée  Général
292,France2014/201516Journée  Domicile
293,France2014/201516Journée  Extérieur
294,France2014/201515Journée  Général
295,France2014/201515Journée  Domicile
296,France2014/201515Journée  Extérieur
297,France2014/201514Journée  Général
298,France2014/201514Journée  Domicile
299,France2014/201514Journée  Extérieur
300,France2014/201513Journée  Général
301,France2014/201513Journée  Domicile
302,France2014/201513Journée  Extérieur
303,France2014/201512Journée  Général
304,France2014/201512Journée  Domicile
305,France2014/201512Journée  Extérieur
306,France2014/201511Journée  Général
307,France2014/201511Journée  Domicile
308,France2014/201511Journée  Extérieur
309,France2014/201510Journée  Général
310,France2014/201510Journée  Domicile
311,France2014/201510Journée  Extérieur
312,France2014/20159Journée  Général
313,France2014/20159Journée  Domicile
314,France2014/20159Journée  Extérieur
315,France2014/20158Journée  Général
316,France2014/20158Journée  Domicile
317,France2014/20158Journée  Extérieur
318,France2014/20157Journée  Général
319,France2014/20157Journée  Domicile
320,France2014/20157Journée  Extérieur
321,France2014/20156Journée  Général
322,France2014/20156Journée  Domicile
323,France2014/20156Journée  Extérieur
324,France2014/20155Journée  Général
325,France2014/20155Journée  Domicile
326,France2014/20155Journée  Extérieur
327,France2014/20154Journée  Général
328,France2014/20154Journée  Domicile
329,France2014/20154Journée  Extérieur
330,France2014/20153Journée  Général
331,France2014/20153Journée  Domicile
332,France2014/20153Journée  Extérieur
333,France2014/20152Journée  Général
334,France2014/20152Journée  Domicile
335,France2014/20152Journée  Extérieur
336,France2015/201638Journée  Général
337,France2015/201638Journée  Domicile
338,France2015/201638Journée  Extérieur
339,France2015/2016Journée  Général
340,France2015/2016Journée  Domicile
341,France2015/2016Journée  Extérieur
342,France2015/201636Journée  Général
343,France2015/201636Journée  Domicile
344,France2015/201636Journée  Extérieur
345,France2015/201635Journée  Général
346,France2015/201635Journée  Domicile
347,France2015/201635Journée  Extérieur
348,France2015/201634Journée  Général
349,France2015/201634Journée  Domicile
350,France2015/201634Journée  Extérieur
351,France2015/201633Journée  Général
352,France2015/201633Journée  Domicile
353,France2015/201633Journée  Extérieur
354,France2015/201632Journée  Général
355,France2015/201632Journée  Domicile
356,France2015/201632Journée  Extérieur
357,France2015/201631Journée  Général
358,France2015/201631Journée  Domicile
359,France2015/201631Journée  Extérieur
360,France2015/201630Journée  Général
361,France2015/201630Journée  Domicile
362,France2015/201630Journée  Extérieur
363,France2015/201629Journée  Général
364,France2015/201629Journée  Domicile
365,France2015/201629Journée  Extérieur
366,France2015/201628Journée  Général
367,France2015/201628Journée  Domicile
368,France2015/201628Journée  Extérieur
369,France2015/201627Journée  Général
370,France2015/201627Journée  Domicile
371,France2015/201627Journée  Extérieur
372,France2015/201626Journée  Général
373,France2015/201626Journée  Domicile
374,France2015/201626Journée  Extérieur
375,France2015/201625Journée  Général
376,France2015/201625Journée  Domicile
377,France2015/201625Journée  Extérieur
378,France2015/201624Journée  Général
379,France2015/201624Journée  Domicile
380,France2015/201624Journée  Extérieur
381,France2015/201623Journée  Général
382,France2015/201623Journée  Domicile
383,France2015/201623Journée  Extérieur
384,France2015/201622Journée  Général
385,France2015/201622Journée  Domicile
386,France2015/201622Journée  Extérieur
387,France2015/201621Journée  Général
388,France2015/201621Journée  Domicile
389,France2015/201621Journée  Extérieur
390,France2015/201620Journée  Général
391,France2015/201620Journée  Domicile
392,France2015/201620Journée  Extérieur
393,France2015/201619Journée  Général
394,France2015/201619Journée  Domicile
395,France2015/201619Journée  Extérieur
396,France2015/201618Journée  Général
397,France2015/201618Journée  Domicile
398,France2015/201618Journée  Extérieur
399,France2015/201617Journée  Général
400,France2015/201617Journée  Domicile
401,France2015/201617Journée  Extérieur
402,France2015/201616Journée  Général
403,France2015/201616Journée  Domicile
404,France2015/201616Journée  Extérieur
405,France2015/201615Journée  Général
406,France2015/201615Journée  Domicile
407,France2015/201615Journée  Extérieur
408,France2015/201614Journée  Général
409,France2015/201614Journée  Domicile
410,France2015/201614Journée  Extérieur
411,France2015/201613Journée  Général
412,France2015/201613Journée  Domicile
413,France2015/201613Journée  Extérieur
414,France2015/201612Journée  Général
415,France2015/201612Journée  Domicile
416,France2015/201612Journée  Extérieur
417,France2015/201611Journée  Général
418,France2015/201611Journée  Domicile
419,France2015/201611Journée  Extérieur
420,France2015/201610Journée  Général
421,France2015/201610Journée  Domicile
422,France2015/201610Journée  Extérieur
423,France2015/2016Journée  Général
424,France2015/2016Journée  Domicile
425,France2015/2016Journée  Extérieur
426,France2015/20169Journée  Général
427,France2015/20169Journée  Domicile
428,France2015/20169Journée  Extérieur
429,France2015/20168Journée  Général
430,France2015/20168Journée  Domicile
431,France2015/20168Journée  Extérieur
432,France2015/20167Journée  Général
433,France2015/20167Journée  Domicile
434,France2015/20167Journée  Extérieur
435,France2015/20166Journée  Général
436,France2015/20166Journée  Domicile
437,France2015/20166Journée  Extérieur
438,France2015/2016Journée  Général
439,France2015/2016Journée  Domicile
440,France2015/2016Journée  Extérieur
441,France2015/20165Journée  Général
442,France2015/20165Journée  Domicile
443,France2015/20165Journée  Extérieur
444,France2015/20164Journée  Général
445,France2015/20164Journée  Domicile
446,France2015/20164Journée  Extérieur
447,France2015/20163Journée  Général
448,France2015/20163Journée  Domicile
449,France2015/20163Journée  Extérieur
450,France2015/20162Journée  Général
451,France2015/20162Journée  Domicile
452,France2015/20162Journée  Extérieur
453,France2016/201738Journée  Général
