,0,1,2,3,4,5,6,7,8,9
0,1,OGC Nice,26,10,8,2,0,23,7,+16
1,2,AS Monaco,25,10,8,1,1,34,10,+24
2,3,Paris SG,24,10,7,3,0,24,3,+21
3,4,Stade Rennais,23,10,7,2,1,15,6,+9
4,5,Olympique de Marseille,21,9,6,3,0,11,1,+10
5,6,En Avant Guingamp,20,9,6,2,1,11,5,+6
6,7,Toulouse FC,19,9,6,1,2,18,10,+8
7,8,Montpellier Herault SC,18,9,5,3,1,16,6,+10
8,9,Olympique Lyonnais,18,9,6,0,3,17,10,+7
9,10,AS Saint-Etienne,17,10,4,5,1,10,5,+5
10,11,SM Caen,17,9,5,2,2,14,14,0
11,12,Dijon FCO,16,10,4,4,2,18,12,+6
12,13,Lille OSC,16,10,5,1,4,13,13,0
13,14,Girondins de Bordeaux,15,10,4,3,3,10,12,-2
14,15,Nancy,13,9,4,1,4,11,9,+2
15,16,Bastia SC,13,10,3,4,3,9,8,+1
16,17,Lorient,13,9,4,1,4,9,14,-5
17,18,SCO Angers,12,9,3,3,3,10,10,0
18,19,FC Nantes Atlantique,12,10,3,3,4,5,13,-8
19,20,FC Metz,9,9,2,3,4,12,24,-12
