,0,1,2,3,4,5,6,7,8,9
0,1,Juventus Turin,12,4,4,0,0,11,0,+11
1,2,Inter Milan,9,3,3,0,0,6,0,+6
2,3,Milan AC,9,3,3,0,0,6,2,+4
3,4,Sampdoria Gênes,7,3,2,1,0,5,2,+3
4,5,SSC Naples,6,2,2,0,0,9,1,+8
5,6,Atalanta Bergame,6,3,2,0,1,7,3,+4
6,7,AS Rome,6,3,2,0,1,7,4,+3
7,8,Torino FC,4,2,1,1,0,5,2,+3
8,9,Lazio Rome,4,3,1,1,1,5,5,0
9,10,Fiorentina,4,3,1,1,1,4,4,0
10,11,Crotone,4,4,1,1,2,2,5,-3
11,12,Udinese,3,3,1,0,2,4,5,-1
12,13,SPAL Ferrara,3,3,1,0,2,5,7,-2
13,14,Cagliari,3,3,1,0,2,1,3,-2
14,15,Bologne FC,2,3,0,2,1,2,5,-3
15,16,Chievo Vérone,1,2,0,1,1,2,3,-1
16,17,Genoa CFC,1,3,0,1,2,5,8,-3
17,18,US Sassuolo Calcio,1,3,0,1,2,1,4,-3
18,19,Hellas Vérone,1,4,0,1,3,1,11,-10
19,20,Benevento Calcio,0,3,0,0,3,0,6,-6
