,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,78,79,78,75,73,65,65,78,79,78,78,78,76,81,76,74,73,79,76,72,80
1,REYES,BAPTISTAO,CAICEDO,MORENO,ÁLVARO,LATOUR,RUFO,PIATTI,FUEGO,DIOP,JURADO,PÉREZ,SÁNCHEZ,LÓPEZ,GRANERO,ÁLVAREZ,SEVILLA,DEMICHELIS,NALDO,DUARTE,ROBERTO
2,CB,ST,ST,ST,ST,LW,ST,LM,CDM,CDM,LM,RM,CDM,GK,CM,LM,CAM,CB,CB,LB,GK
3,68,80,73,64,69,75,68,83,58,59,71,80,61,78,57,76,47,34,54,67,81
4,46,74,76,76,75,58,67,70,60,66,76,73,62,82,69,49,68,40,38,34,73
5,59,69,62,62,59,58,49,73,70,69,77,70,78,70,80,72,80,54,48,61,74
6,68,80,72,74,74,68,67,81,67,68,81,80,71,78,74,74,70,42,51,62,83
7,80,26,47,44,32,24,20,42,76,74,28,28,67,34,61,68,46,79,78,72,45
8,70,63,82,61,69,45,50,57,80,85,54,72,69,82,66,72,59,76,74,64,79
